"Category"	"Top over-represented sequence"	"Sum of remaining over-represented sequences"
"X3 LDAL ADM A H_S61_L001_R1_001_BHCYNTDSX2"	0.12096120498284492	0.11237289434910257
"X3 LDAL ADM A H_S61_L001_R2_001_BHCYNTDSX2"	0.18701960890624195	0.6607097108816028
"X3 LDAL ADM B H_S62_L001_R1_001_BHCYNTDSX2"	0.1502111902166841	0.25164648663455225
"X3 LDAL ADM B H_S62_L001_R2_001_BHCYNTDSX2"	0.8145395150787915	5.902147749314295
"X3 LDAL ADM B A_S63_L001_R1_001_BHCYNTDSX2"	0.16275012786665888	0.9296049138315191
"X3 LDAL ADM B A_S63_L001_R2_001_BHCYNTDSX2"	1.4097494939031545	3.6125339621630994
"X18 LDAL ADM H_S64_L001_R1_001_BHCYNTDSX2"	0.14671540939960692	0.12479093335059688
"X18 LDAL ADM H_S64_L001_R2_001_BHCYNTDSX2"	0.5698905487889279	3.8282272405602464
"X18 LDAL ADM A_S65_L001_R1_001_BHCYNTDSX2"	0.162384305551699	0.25128138020210233
"X18 LDAL ADM A_S65_L001_R2_001_BHCYNTDSX2"	0.3860633570063981	0.10524972513368164
"X1 LDAL ADF H_S66_L001_R1_001_BHCYNTDSX2"	0.14934506206774625	0.11235502331354899
"X1 LDAL ADF H_S66_L001_R2_001_BHCYNTDSX2"	0.2184720464915901	0.7190342714070291
"X1 LDAL ADF A_S67_L001_R1_001_BHCYNTDSX2"	0.1349306473843829	0.5545585959307636
"X1 LDAL ADF A_S67_L001_R2_001_BHCYNTDSX2"	0.7994423715217318	3.4785986651743688
"X3 LDAL ADF H_S68_L001_R1_001_BHCYNTDSX2"	0.11427194058253698	0
"X3 LDAL ADF H_S68_L001_R2_001_BHCYNTDSX2"	0.20469475169529414	0.4401524963157576
"X4 LDAL ADF H_S69_L001_R1_001_BHCYNTDSX2"	0.12836687547303624	0.22345218798646524
"X4 LDAL ADF H_S69_L001_R2_001_BHCYNTDSX2"	1.0166389927209012	4.453722187940043
"X4 LDAL ADF A_S70_L001_R1_001_BHCYNTDSX2"	0.13422775722327113	0.12538834308758734
"X4 LDAL ADF A_S70_L001_R2_001_BHCYNTDSX2"	1.3283951147734558	2.8658321382604894
"X18 LDAL ADF H_S71_L001_R1_001_BHCYNTDSX2"	0.19389100385206137	1.3631058009245431
"X18 LDAL ADF H_S71_L001_R2_001_BHCYNTDSX2"	2.014490698156648	7.809698950411624
"X18 LDAL ADF A_S72_L001_R1_001_BHCYNTDSX2"	0	0
"X18 LDAL ADF A_S72_L001_R2_001_BHCYNTDSX2"	0.4474963584253198	0
